KNOTE,BEZEI,CITY,REGIO
AC1200013,Acrelândia - AC,Acrelândia,AC
AC1200054,Assis Brasil - AC,Assis Brasil,AC
AC1200104,Brasiléia - AC,Brasiléia,AC
AC1200138,Bujari - AC,Bujari,AC
AC1200179,Capixaba - AC,Capixaba,AC
AC1200203,Cruzeiro Do Sul - AC,Cruzeiro Do Sul,AC
AC1200252,Epitaciolândia - AC,Epitaciolândia,AC
AC1200302,Feijó - AC,Feijó,AC
AC1200328,Jordão - AC,Jordão,AC
AC1200336,Mâncio Lima - AC,Mâncio Lima,AC
AC1200344,Manoel Urbano - AC,Manoel Urbano,AC
AC1200351,Marechal Thaumaturgo - AC,Marechal Thaumaturgo,AC
AC1200385,Plácido De Castro - AC,Plácido De Castro,AC
AC1200393,Porto Walter - AC,Porto Walter,AC
AC1200401,Rio Branco - AC,Rio Branco,AC
AC1200427,Rodrigues Alves - AC,Rodrigues Alves,AC
AC1200435,Santa Rosa Do Purus - AC,Santa Rosa Do Purus,AC
AC1200450,Senador Guiomard - AC,Senador Guiomard,AC
AC1200500,Sena Madureira - AC,Sena Madureira,AC
AC1200609,Tarauacá - AC,Tarauacá,AC
AC1200708,Xapuri - AC,Xapuri,AC
AC1200807,Porto Acre - AC,Porto Acre,AC
AL2700102,Água Branca - AL,Água Branca,AL
AL2700201,Anadia - AL,Anadia,AL
AL2700300,Arapiraca - AL,Arapiraca,AL
AL2700409,Atalaia - AL,Atalaia,AL
AL2700508,Barra De Santo Antônio - AL,Barra De Santo Antônio,AL
AL2700607,Barra De São Miguel - AL,Barra De São Miguel,AL
AL2700706,Batalha - AL,Batalha,AL
AL2700805,Belém - AL,Belém,AL
AL2700904,Belo Monte - AL,Belo Monte,AL
AL2701001,Boca Da Mata - AL,Boca Da Mata,AL
AL2701100,Branquinha - AL,Branquinha,AL
AL2701209,Cacimbinhas - AL,Cacimbinhas,AL
AL2701308,Cajueiro - AL,Cajueiro,AL
AL2701357,Campestre - AL,Campestre,AL
AL2701407,Campo Alegre - AL,Campo Alegre,AL
AL2701506,Campo Grande - AL,Campo Grande,AL
AL2701605,Canapi - AL,Canapi,AL
AL2701704,Capela - AL,Capela,AL
AL2701803,Carneiros - AL,Carneiros,AL
AL2701902,Chã Preta - AL,Chã Preta,AL
AL2702009,Coité Do Nóia - AL,Coité Do Nóia,AL
AL2702108,Colônia Leopoldina - AL,Colônia Leopoldina,AL
AL2702207,Coqueiro Seco - AL,Coqueiro Seco,AL
AL2702306,Coruripe - AL,Coruripe,AL
AL2702355,Craíbas - AL,Craíbas,AL
AL2702405,Delmiro Gouveia - AL,Delmiro Gouveia,AL
AL2702504,Dois Riachos - AL,Dois Riachos,AL
AL2702553,Estrela De Alagoas - AL,Estrela De Alagoas,AL
AL2702603,Feira Grande - AL,Feira Grande,AL
AL2702702,Feliz Deserto - AL,Feliz Deserto,AL
AL2702801,Flexeiras - AL,Flexeiras,AL
AL2702900,Girau Do Ponciano - AL,Girau Do Ponciano,AL
AL2703007,Ibateguara - AL,Ibateguara,AL
AL2703106,Igaci - AL,Igaci,AL
AL2703205,Igreja Nova - AL,Igreja Nova,AL
AL2703304,Inhapi - AL,Inhapi,AL
AL2703403,Jacaré Dos Homens - AL,Jacaré Dos Homens,AL
AL2703502,Jacuípe - AL,Jacuípe,AL
AL2703601,Japaratinga - AL,Japaratinga,AL
AL2703700,Jaramataia - AL,Jaramataia,AL
AL2703759,Jequiá Da Praia - AL,Jequiá Da Praia,AL
AL2703809,Joaquim Gomes - AL,Joaquim Gomes,AL
AL2703908,Jundiá - AL,Jundiá,AL
AL2704005,Junqueiro - AL,Junqueiro,AL
AL2704104,Lagoa Da Canoa - AL,Lagoa Da Canoa,AL
AL2704203,Limoeiro De Anadia - AL,Limoeiro De Anadia,AL
AL2704302,Maceió - AL,Maceió,AL
AL2704401,Major Isidoro - AL,Major Isidoro,AL
AL2704500,Maragogi - AL,Maragogi,AL
AL2704609,Maravilha - AL,Maravilha,AL
AL2704708,Marechal Deodoro - AL,Marechal Deodoro,AL
AL2704807,Maribondo - AL,Maribondo,AL
AL2704906,Mar Vermelho - AL,Mar Vermelho,AL
AL2705002,Mata Grande - AL,Mata Grande,AL
AL2705101,Matriz De Camaragibe - AL,Matriz De Camaragibe,AL
AL2705200,Messias - AL,Messias,AL
AL2705309,Minador Do Negrão - AL,Minador Do Negrão,AL
AL2705408,Monteirópolis - AL,Monteirópolis,AL
AL2705507,Murici - AL,Murici,AL
AL2705606,Novo Lino - AL,Novo Lino,AL
AL2705705,Olho D´Água Das Flores - AL,Olho D´Água Das Flores,AL
AL2705804,Olho D´Água Do Casado - AL,Olho D´Água Do Casado,AL
AL2705903,Olho D´Água Grande - AL,Olho D´Água Grande,AL
AL2706000,Olivença - AL,Olivença,AL
AL2706109,Ouro Branco - AL,Ouro Branco,AL
AL2706208,Palestina - AL,Palestina,AL
AL2706307,Palmeira Dos Índios - AL,Palmeira Dos Índios,AL
AL2706406,Pão De Açúcar - AL,Pão De Açúcar,AL
AL2706422,Pariconha - AL,Pariconha,AL
AL2706448,Paripueira - AL,Paripueira,AL
AL2706505,Passo De Camaragibe - AL,Passo De Camaragibe,AL
AL2706604,Paulo Jacinto - AL,Paulo Jacinto,AL
AL2706703,Penedo - AL,Penedo,AL
AL2706802,Piaçabuçu - AL,Piaçabuçu,AL
AL2706901,Pilar - AL,Pilar,AL
AL2707008,Pindoba - AL,Pindoba,AL
